time_of_day,subject_type,session_duration_inmin,breaks_taken_count,day_of_week,Normalized_focus_Score
Evening,Aptitude,74.5,8,Wednesday,53.59
Morning,Aptitude,110.6,3,Thursday,65.38
Evening,Python,45.3,4,Thursday,53.51
Night,Aptitude,100.2,6,Tuesday,40.1
Night,DBMS,11.0,2,Tuesday,44.91
Morning,DSA,10.4,7,Thursday,58.67
Afternoon,Machine Learning,93.6,5,Thursday,51.39
Evening,DBMS,93.8,10,Wednesday,48.42
Evening,DBMS,96.8,5,Saturday,53.19
Morning,DSA,112.3,5,Sunday,62.2
Evening,Java,23.0,2,Saturday,46.93
Evening,Ai,35.5,10,Tuesday,55.95
Afternoon,Machine Learning,109.4,9,Friday,42.91
Afternoon,Java,29.5,3,Thursday,55.48
Morning,Java,85.0,7,Friday,68.46
Afternoon,DBMS,68.4,5,Tuesday,44.05
Morning,Aptitude,19.2,10,Sunday,58.46
Night,Java,41.4,10,Tuesday,46.79
Morning,DSA,67.2,5,Monday,59.67
Night,Ai,103.8,4,Thursday,43.87
Morning,Machine Learning,87.8,10,Sunday,52.14
Evening,Operating Systems,78.4,6,Saturday,44.17
Afternoon,Python,64.6,7,Saturday,48.19
Night,Aptitude,42.9,7,Tuesday,49.32
Morning,DSA,23.1,8,Tuesday,64.52
Afternoon,Python,55.0,5,Thursday,52.9
Morning,Ai,13.1,7,Monday,55.06
Afternoon,Ai,33.2,4,Monday,43.6
Afternoon,Operating Systems,57.6,9,Monday,46.91
Morning,Java,56.0,5,Monday,50.45
Night,DBMS,14.9,3,Sunday,29.39
Night,DBMS,74.8,5,Wednesday,38.27
Evening,Machine Learning,70.5,9,Thursday,54.56
Afternoon,DSA,18.6,8,Thursday,40.81
Evening,DSA,113.7,1,Thursday,55.64
Evening,Java,20.9,5,Sunday,47.87
Morning,Ai,104.0,6,Saturday,63.01
Morning,Machine Learning,10.0,10,Sunday,52.0
Morning,Java,107.1,2,Monday,57.69
Afternoon,Python,12.2,6,Monday,48.25
Morning,DBMS,93.4,9,Saturday,53.35
Morning,DBMS,49.8,4,Sunday,57.44
Afternoon,Ai,91.2,3,Saturday,48.43
Afternoon,DSA,54.2,9,Tuesday,48.77
Night,Ai,17.8,2,Wednesday,38.63
Morning,Java,94.4,9,Saturday,59.03
Morning,DSA,17.8,10,Thursday,52.95
Morning,Machine Learning,111.4,2,Wednesday,52.56
Night,Java,15.6,10,Sunday,39.17
Morning,Operating Systems,62.7,3,Saturday,60.88
Night,Python,89.5,7,Thursday,41.31
Evening,Aptitude,53.3,2,Monday,56.84
Night,Operating Systems,33.9,1,Sunday,29.16
Evening,Java,93.5,9,Monday,57.53
Morning,Operating Systems,96.3,6,Thursday,65.23
Evening,DSA,111.5,9,Friday,57.04
Night,DSA,51.4,3,Sunday,40.75
Afternoon,DSA,65.7,3,Monday,45.52
Evening,Operating Systems,49.9,10,Tuesday,50.29
Evening,Ai,38.3,3,Saturday,47.77
Morning,Python,92.6,2,Monday,58.99
Night,Ai,47.4,6,Tuesday,49.67
Evening,DSA,57.1,3,Wednesday,53.4
Evening,Java,54.4,5,Sunday,55.92
Evening,Java,88.4,5,Monday,70.22
Evening,DBMS,111.0,10,Saturday,60.26
Afternoon,Ai,83.3,3,Monday,49.92
Night,Python,61.9,3,Saturday,41.2
Morning,Java,95.7,1,Wednesday,64.17
Morning,DBMS,80.5,6,Saturday,61.16
Afternoon,Python,16.7,3,Tuesday,54.69
Night,DSA,20.5,1,Friday,51.38
Evening,Ai,14.2,10,Sunday,47.28
Afternoon,Aptitude,60.2,9,Saturday,48.43
Night,Machine Learning,100.8,1,Sunday,39.82
Evening,DSA,44.4,5,Saturday,54.41
Afternoon,Java,52.3,5,Sunday,44.7
Night,Operating Systems,110.0,2,Tuesday,46.84
Morning,Aptitude,102.1,1,Sunday,48.06
Morning,Operating Systems,83.2,6,Thursday,59.9
Night,Python,39.3,7,Thursday,55.56
Morning,Operating Systems,22.9,9,Thursday,57.4
Night,Aptitude,11.8,8,Saturday,41.49
Evening,Aptitude,21.8,10,Wednesday,60.35
Night,DSA,42.2,3,Tuesday,46.35
Evening,DBMS,70.7,9,Saturday,43.44
Afternoon,DSA,17.0,1,Sunday,45.3
Night,Python,25.0,6,Monday,48.92
Afternoon,Java,29.9,10,Saturday,53.83
Morning,Operating Systems,79.5,2,Thursday,65.9
Evening,DBMS,77.7,10,Tuesday,54.68
Night,Ai,70.6,9,Monday,48.18
Afternoon,Machine Learning,37.6,9,Tuesday,47.61
Evening,Aptitude,50.8,8,Wednesday,52.48
Evening,DBMS,20.6,7,Thursday,60.48
Morning,Java,34.9,6,Friday,65.14
Morning,Ai,108.7,2,Saturday,58.35
Evening,DBMS,117.8,4,Sunday,48.73
Evening,DSA,81.2,10,Thursday,53.87
Night,Ai,110.9,7,Thursday,45.19
Evening,Machine Learning,80.7,6,Wednesday,57.61
Night,Java,13.7,9,Monday,43.47
Evening,Aptitude,119.6,5,Thursday,55.14
Morning,Java,20.9,6,Monday,60.94
Night,Python,85.1,10,Monday,45.65
Afternoon,Python,37.8,6,Wednesday,53.28
Morning,DBMS,53.1,8,Thursday,60.56
Night,Ai,81.1,8,Saturday,37.92
Night,DBMS,58.0,6,Wednesday,42.22
Afternoon,Operating Systems,37.6,8,Wednesday,42.96
Night,Machine Learning,46.8,7,Friday,39.31
Evening,Aptitude,47.6,1,Saturday,59.13
Afternoon,DBMS,115.5,5,Wednesday,53.31
Morning,Operating Systems,97.8,10,Friday,55.99
Morning,Ai,60.4,10,Monday,59.04
Evening,Machine Learning,32.0,10,Saturday,45.65
Morning,Aptitude,99.2,5,Saturday,60.63
Night,Python,27.3,10,Monday,48.26
Night,Operating Systems,33.2,9,Tuesday,48.41
Evening,Ai,50.3,7,Saturday,50.42
Morning,Machine Learning,106.8,7,Sunday,60.0
Morning,Operating Systems,24.5,10,Tuesday,54.04
Evening,DBMS,23.4,2,Monday,52.04
Afternoon,DSA,64.3,8,Thursday,47.01
Morning,Python,40.4,3,Tuesday,66.01
Afternoon,DBMS,72.6,9,Wednesday,47.28
Morning,DBMS,59.7,6,Saturday,52.17
Morning,Ai,57.8,9,Sunday,57.05
Morning,Ai,22.3,9,Tuesday,72.19
Morning,Machine Learning,25.5,7,Saturday,50.12
Night,Ai,100.3,10,Monday,51.19
Afternoon,Operating Systems,107.4,8,Thursday,49.96
Afternoon,Python,35.8,2,Monday,52.03
Morning,DBMS,22.5,5,Thursday,56.99
Morning,Machine Learning,15.9,3,Saturday,58.13
Afternoon,Java,76.9,1,Tuesday,55.19
Night,Java,88.7,6,Wednesday,52.53
Evening,Python,51.0,9,Wednesday,58.43
Evening,Ai,84.8,2,Monday,51.54
Afternoon,Ai,88.4,9,Saturday,55.94
Morning,Operating Systems,112.9,8,Thursday,57.74
Morning,Ai,17.1,9,Tuesday,56.14
Night,Java,31.2,5,Sunday,43.45
Evening,DBMS,17.5,2,Thursday,50.18
Night,Java,105.5,10,Thursday,42.5
Evening,Aptitude,97.2,10,Thursday,58.13
Afternoon,DBMS,73.2,6,Saturday,61.36
Evening,DBMS,19.2,7,Tuesday,57.83
Night,Ai,40.1,3,Saturday,47.92
Night,Python,42.7,6,Sunday,41.46
Night,Ai,71.7,6,Thursday,46.34
Afternoon,Python,38.4,8,Sunday,39.41
Evening,Python,18.0,1,Sunday,47.34
Evening,Java,90.4,4,Saturday,52.78
Night,Python,42.9,1,Wednesday,48.77
Evening,Machine Learning,59.8,8,Monday,57.22
Morning,DSA,24.0,2,Friday,58.05
Morning,Ai,98.3,8,Thursday,67.54
Morning,Machine Learning,72.2,3,Sunday,57.75
Evening,DBMS,109.2,8,Wednesday,45.93
Afternoon,Machine Learning,64.5,6,Saturday,35.94
Afternoon,Operating Systems,113.6,1,Sunday,47.64
Afternoon,Aptitude,108.1,7,Wednesday,48.81
Afternoon,Python,73.4,7,Monday,53.11
Morning,Ai,112.7,6,Monday,58.32
Morning,Operating Systems,45.5,1,Friday,57.0
Night,Ai,50.2,5,Friday,41.33
Evening,Java,15.0,1,Sunday,51.71
Evening,Aptitude,74.8,1,Friday,59.2
Afternoon,Operating Systems,89.4,6,Tuesday,44.62
Morning,Ai,95.1,8,Tuesday,59.31
Afternoon,DBMS,26.5,1,Wednesday,57.12
Night,Python,58.9,2,Saturday,35.29
Evening,Operating Systems,29.5,5,Monday,58.21
Evening,DBMS,82.8,8,Thursday,53.96
Afternoon,Python,27.4,4,Monday,48.1
Night,DSA,109.5,5,Tuesday,41.23
Evening,DBMS,35.4,10,Wednesday,60.16
Night,Machine Learning,42.1,5,Thursday,42.35
Night,Ai,103.6,3,Friday,39.62
Afternoon,Java,60.4,6,Friday,45.67
Morning,Python,12.6,5,Tuesday,59.5
Afternoon,Operating Systems,64.4,2,Wednesday,54.34
Morning,Aptitude,19.3,10,Sunday,54.49
Night,Operating Systems,118.4,4,Saturday,41.88
Morning,Machine Learning,74.7,4,Monday,54.54
Night,Ai,38.2,7,Tuesday,43.01
Evening,Machine Learning,72.0,7,Saturday,49.19
Evening,Operating Systems,18.5,9,Saturday,47.35
Evening,Java,98.0,10,Monday,51.09
Afternoon,Ai,111.8,2,Thursday,47.39
Afternoon,Aptitude,106.2,6,Monday,57.51
Night,Python,47.6,2,Thursday,47.3
Evening,Ai,45.8,9,Saturday,47.52
Afternoon,DBMS,13.9,2,Wednesday,54.22
Evening,Ai,81.7,6,Tuesday,59.49
Afternoon,Machine Learning,68.8,8,Monday,43.42
Morning,Machine Learning,60.5,6,Wednesday,66.13
Morning,Machine Learning,109.8,3,Wednesday,59.92
Evening,Aptitude,28.5,5,Monday,57.1
Night,Ai,11.1,4,Friday,46.81
Afternoon,Java,18.1,1,Saturday,48.69
Afternoon,Java,34.6,5,Friday,49.42
Morning,Ai,13.7,10,Thursday,63.25
Morning,Java,65.3,5,Wednesday,58.35
Night,DSA,44.5,7,Tuesday,51.87
Night,Aptitude,29.9,7,Tuesday,35.03
Night,Python,92.5,2,Wednesday,42.45
Evening,Python,32.5,4,Friday,58.78
Morning,Python,85.6,1,Saturday,58.6
Evening,Python,48.4,5,Wednesday,54.49
Morning,Python,66.3,5,Sunday,59.87
Morning,Java,112.7,4,Thursday,53.93
Afternoon,Operating Systems,14.1,10,Wednesday,44.82
Morning,Machine Learning,65.0,7,Monday,57.36
Morning,Aptitude,104.0,6,Friday,61.92
Evening,Operating Systems,74.7,10,Monday,51.42
Morning,Aptitude,40.5,3,Monday,51.01
Evening,DSA,53.7,2,Wednesday,55.15
Night,Ai,84.8,4,Saturday,44.43
Morning,DBMS,108.0,9,Wednesday,54.54
Morning,Machine Learning,14.5,10,Saturday,53.04
Evening,DSA,17.9,5,Tuesday,58.55
Night,Operating Systems,45.8,1,Saturday,36.21
Afternoon,DBMS,35.6,3,Monday,49.84
Night,Ai,39.1,9,Wednesday,41.68
Evening,DSA,34.3,7,Tuesday,64.92
Night,Ai,31.5,3,Sunday,35.86
Evening,Ai,24.4,1,Monday,45.88
Evening,Java,112.7,4,Tuesday,58.03
Afternoon,Aptitude,25.9,9,Friday,48.37
Morning,DBMS,32.5,7,Thursday,54.85
Evening,Aptitude,37.1,5,Monday,52.54
Evening,Ai,112.6,6,Wednesday,62.58
Afternoon,Java,93.1,1,Saturday,47.02
Evening,DSA,96.9,7,Friday,61.32
Morning,Ai,21.5,5,Sunday,50.8
Afternoon,Operating Systems,102.0,7,Tuesday,55.44
Morning,Ai,54.9,5,Thursday,55.16
Morning,Aptitude,38.9,5,Saturday,63.13
Afternoon,DBMS,73.3,3,Monday,55.73
Evening,DSA,100.4,5,Thursday,49.03
Morning,Aptitude,95.7,8,Friday,62.11
Morning,Ai,107.9,8,Thursday,61.03
Morning,Operating Systems,112.1,2,Monday,64.68
Morning,Machine Learning,36.2,1,Friday,52.34
Afternoon,Java,56.6,2,Tuesday,47.97
Afternoon,Operating Systems,11.6,7,Monday,50.24
Night,Ai,106.7,3,Thursday,52.52
Night,Operating Systems,27.0,8,Monday,45.3
Morning,Java,104.8,4,Friday,55.15
Evening,Machine Learning,46.2,10,Thursday,54.61
Morning,Operating Systems,50.5,10,Tuesday,54.92
Evening,Machine Learning,14.3,8,Sunday,41.57
Morning,Ai,46.0,2,Sunday,56.19
Night,Machine Learning,107.7,5,Saturday,41.39
Night,Aptitude,12.8,6,Wednesday,45.96
Evening,Aptitude,54.7,1,Tuesday,55.27
Morning,Machine Learning,13.5,1,Monday,66.93
Evening,DSA,50.8,9,Wednesday,61.76
Night,DBMS,29.0,5,Saturday,37.88
Morning,DSA,37.7,4,Saturday,60.72
Morning,Machine Learning,106.5,1,Friday,69.31
Evening,DBMS,58.0,3,Saturday,60.79
Afternoon,Aptitude,40.1,4,Sunday,52.04
Evening,DBMS,74.8,5,Thursday,54.33
Night,Machine Learning,25.6,10,Thursday,36.48
Night,Aptitude,38.5,5,Friday,40.19
Night,DBMS,70.1,10,Saturday,44.64
Night,DBMS,36.1,8,Monday,46.47
Night,DSA,84.7,3,Tuesday,44.34
Afternoon,DBMS,64.1,7,Sunday,51.55
Morning,Ai,94.9,6,Wednesday,65.85
Evening,Machine Learning,114.3,10,Friday,58.84
Evening,Python,22.7,10,Saturday,57.68
Night,Python,46.8,10,Monday,49.59
Evening,Python,45.2,6,Monday,54.37
Night,Machine Learning,26.6,10,Wednesday,43.43
Afternoon,Python,99.1,9,Friday,53.8
Afternoon,DSA,93.6,7,Tuesday,48.73
Morning,Machine Learning,63.3,7,Sunday,47.05
Afternoon,Ai,69.2,1,Tuesday,51.6
Afternoon,Aptitude,16.5,1,Friday,49.71
Morning,Ai,71.1,9,Thursday,59.31
Evening,Machine Learning,97.0,9,Sunday,52.87
Night,Machine Learning,73.1,10,Saturday,42.77
Night,DBMS,39.2,3,Tuesday,50.97
Evening,DBMS,83.4,8,Thursday,57.96
Morning,DBMS,49.8,9,Friday,58.08
Evening,Java,69.9,1,Saturday,58.62
Afternoon,Java,63.6,3,Monday,57.52
Morning,Operating Systems,51.9,6,Friday,59.89
Morning,Java,89.1,4,Monday,66.25
Morning,DSA,107.2,8,Friday,59.82
Night,Machine Learning,10.6,9,Sunday,45.75
Evening,Ai,112.7,7,Thursday,61.62
Morning,Machine Learning,66.3,1,Saturday,51.84
Morning,DBMS,87.1,2,Thursday,67.0
Morning,Machine Learning,104.1,1,Saturday,55.23
Evening,Aptitude,61.4,9,Sunday,53.95
Night,Java,101.8,4,Friday,50.56
Afternoon,Machine Learning,29.5,10,Monday,46.71
Night,Ai,27.5,8,Friday,49.96
Morning,Python,82.3,5,Monday,62.83
Night,Aptitude,105.7,5,Thursday,42.73
Night,Aptitude,108.2,5,Wednesday,48.22
Afternoon,Machine Learning,80.8,5,Tuesday,54.26
Evening,Operating Systems,67.8,3,Thursday,55.53
Evening,DBMS,46.5,6,Friday,49.93
Night,DSA,117.8,1,Friday,42.39
Night,DSA,45.2,8,Monday,40.47
Evening,Python,91.9,4,Tuesday,68.38
Evening,DSA,68.5,6,Saturday,46.63
Afternoon,DSA,76.9,2,Thursday,37.63
Morning,DBMS,53.3,2,Sunday,55.08
Night,Java,116.1,8,Tuesday,45.93
Evening,DBMS,72.9,1,Tuesday,55.16
Night,Operating Systems,113.2,8,Thursday,45.9
Night,Ai,10.8,10,Monday,38.6
Evening,Python,73.0,10,Saturday,54.31
Afternoon,DSA,88.9,1,Monday,44.05
Night,Operating Systems,92.0,9,Sunday,46.53
Afternoon,Python,109.5,1,Monday,46.28
Evening,Aptitude,10.5,4,Wednesday,54.57
Morning,DSA,10.0,9,Tuesday,55.03
Morning,DSA,61.9,1,Wednesday,63.76
Night,DBMS,13.2,9,Monday,42.65
Evening,Machine Learning,117.2,8,Saturday,44.75
Afternoon,Python,34.4,5,Thursday,57.27
Night,DSA,62.0,6,Tuesday,34.03
Evening,Java,16.7,5,Thursday,58.46
Evening,Python,67.4,4,Friday,58.68
Afternoon,Ai,51.8,10,Tuesday,62.61
Night,Java,14.9,4,Thursday,48.25
Evening,Operating Systems,46.9,10,Monday,57.5
Evening,Java,53.1,8,Wednesday,50.74
Evening,Operating Systems,118.9,8,Thursday,53.9
Afternoon,Machine Learning,32.9,9,Sunday,46.31
Night,DSA,69.9,3,Saturday,48.11
Night,Java,118.6,10,Friday,41.15
Night,Ai,97.1,8,Monday,35.81
Night,DBMS,119.3,3,Sunday,42.36
Morning,DSA,116.5,2,Friday,51.03
Morning,Python,63.8,2,Saturday,63.05
Night,Aptitude,86.6,9,Saturday,49.58
Afternoon,Operating Systems,22.1,4,Wednesday,55.15
Morning,Python,58.5,5,Friday,59.48
Evening,Machine Learning,99.0,2,Saturday,58.1
Morning,Operating Systems,65.6,9,Thursday,56.16
Evening,DBMS,87.3,7,Saturday,47.09
Night,Operating Systems,92.0,3,Saturday,49.15
Morning,Aptitude,37.9,6,Thursday,58.22
Afternoon,Java,106.3,7,Monday,50.8
Morning,Ai,60.6,6,Wednesday,65.07
Morning,Java,33.1,10,Wednesday,54.5
Morning,DSA,105.2,10,Tuesday,56.33
Night,Aptitude,56.0,6,Sunday,39.06
Afternoon,Ai,92.5,8,Tuesday,48.83
Morning,Aptitude,70.3,8,Thursday,56.45
Afternoon,DSA,52.0,5,Saturday,47.86
Night,Operating Systems,99.1,4,Friday,46.8
Evening,Machine Learning,74.3,5,Saturday,50.01
Morning,DSA,53.0,9,Saturday,57.14
Afternoon,DSA,22.1,10,Friday,45.73
Afternoon,Ai,108.5,6,Monday,50.11
Night,DBMS,13.9,3,Wednesday,36.57
Morning,Java,105.0,3,Thursday,64.95
Evening,Operating Systems,49.6,1,Friday,52.2
Afternoon,DSA,80.3,5,Tuesday,46.41
Morning,Machine Learning,111.4,6,Thursday,53.33
Evening,Python,26.7,8,Monday,57.7
Afternoon,Operating Systems,72.4,9,Thursday,47.33
Afternoon,DBMS,94.1,7,Friday,53.15
Evening,Aptitude,93.3,1,Sunday,46.75
Evening,DSA,67.8,7,Monday,54.69
Night,Machine Learning,78.7,10,Saturday,42.13
Morning,Operating Systems,93.3,9,Tuesday,63.98
Morning,Machine Learning,102.5,4,Tuesday,61.33
Night,Machine Learning,93.8,7,Friday,38.47
Afternoon,Java,48.9,9,Monday,50.34
Evening,Ai,119.6,1,Tuesday,54.48
Evening,Aptitude,57.8,10,Monday,49.76
Evening,DBMS,12.7,9,Thursday,54.87
Afternoon,Java,49.9,4,Sunday,40.03
Evening,Operating Systems,24.1,8,Wednesday,56.18
Evening,DSA,23.4,3,Wednesday,60.03
Night,DBMS,41.0,2,Wednesday,49.99
Afternoon,DSA,15.9,8,Tuesday,50.96
Morning,Python,85.7,8,Friday,63.29
Night,Machine Learning,18.1,3,Wednesday,42.43
Night,Python,32.4,8,Saturday,54.8
Morning,Ai,20.2,6,Sunday,55.93
Night,Machine Learning,16.9,10,Friday,36.42
Afternoon,Aptitude,39.5,9,Sunday,50.81
Evening,DBMS,72.9,10,Wednesday,57.31
Afternoon,DSA,116.1,6,Thursday,43.48
Morning,Java,106.3,8,Sunday,55.02
Morning,Ai,106.4,2,Wednesday,60.85
Night,Aptitude,29.4,1,Friday,42.18
Afternoon,DSA,39.1,10,Tuesday,53.59
Afternoon,DBMS,18.4,10,Sunday,43.11
Morning,Operating Systems,95.6,2,Saturday,55.74
Afternoon,Ai,17.7,4,Thursday,47.89
Morning,Python,71.2,10,Friday,64.25
Afternoon,Python,37.3,9,Monday,55.16
Afternoon,Java,36.8,7,Wednesday,52.25
Afternoon,DSA,119.0,9,Thursday,39.77
Morning,DSA,93.2,9,Tuesday,59.82
Night,DSA,102.1,9,Sunday,43.39
Afternoon,Ai,72.9,8,Monday,52.96
Morning,DBMS,105.8,6,Sunday,56.11
Morning,Operating Systems,81.0,10,Wednesday,60.12
Afternoon,Python,114.1,7,Thursday,49.16
Afternoon,Aptitude,40.9,2,Saturday,53.39
Night,Machine Learning,75.5,1,Friday,36.29
Morning,Ai,85.9,5,Sunday,59.26
Morning,Ai,53.2,8,Wednesday,55.02
Evening,DBMS,106.8,3,Thursday,52.6
Morning,Python,117.8,7,Wednesday,61.8
Night,Java,64.3,5,Saturday,32.07
Evening,Operating Systems,53.0,10,Thursday,48.03
Evening,DBMS,61.9,8,Friday,46.99
Evening,Aptitude,103.8,6,Wednesday,57.13
Afternoon,Python,81.0,6,Sunday,54.12
Afternoon,DBMS,14.9,7,Thursday,42.02
Morning,Python,69.6,7,Sunday,58.11
Evening,Python,11.9,4,Monday,58.37
Night,Java,95.6,10,Tuesday,46.35
Afternoon,Ai,46.1,10,Saturday,57.04
Night,Operating Systems,61.9,10,Thursday,45.77
Night,Ai,97.9,8,Sunday,37.36
Afternoon,Machine Learning,15.1,6,Thursday,51.74
Afternoon,Operating Systems,27.4,8,Thursday,57.96
Afternoon,Python,53.8,7,Wednesday,45.49
Afternoon,DBMS,35.3,1,Saturday,49.67
Evening,Aptitude,47.2,4,Tuesday,55.14
Evening,Java,119.8,7,Saturday,47.24
Evening,Operating Systems,100.8,9,Wednesday,51.81
Evening,Machine Learning,107.2,2,Sunday,57.96
Morning,Python,113.1,5,Thursday,65.86
Evening,Aptitude,47.5,9,Saturday,54.13
Afternoon,Operating Systems,42.7,9,Thursday,42.54
Night,Ai,35.7,6,Tuesday,48.37
Evening,Ai,101.3,7,Monday,60.58
Morning,Operating Systems,84.8,9,Wednesday,53.17
Afternoon,Operating Systems,36.0,10,Monday,50.11
Night,Operating Systems,51.5,8,Saturday,47.04
Night,Aptitude,65.7,10,Thursday,49.37
Evening,Ai,68.1,6,Sunday,55.2
Night,DBMS,107.8,6,Sunday,42.22
Evening,Machine Learning,51.9,7,Thursday,58.43
Evening,Machine Learning,109.9,7,Friday,53.81
Afternoon,Java,58.6,2,Friday,52.76
Afternoon,Python,92.1,9,Monday,53.72
Morning,DSA,112.3,4,Friday,53.68
Afternoon,DBMS,109.8,10,Sunday,42.39
Afternoon,Ai,16.3,9,Saturday,39.74
Evening,Python,32.6,10,Tuesday,55.09
Afternoon,Java,62.5,3,Saturday,51.06
Evening,Python,57.5,5,Monday,58.69
Evening,Operating Systems,80.5,5,Saturday,51.84
Afternoon,DSA,113.9,7,Friday,55.79
Morning,Ai,22.4,4,Friday,58.48
Morning,DSA,59.7,4,Tuesday,61.79
Night,DBMS,31.2,1,Saturday,40.3
Night,DSA,108.4,6,Tuesday,36.51
Afternoon,Python,116.1,4,Sunday,45.24
Morning,DSA,62.7,10,Monday,55.1
Evening,DSA,21.4,10,Wednesday,46.89
Night,Machine Learning,96.4,5,Saturday,39.24
Evening,Ai,86.7,9,Sunday,48.29
Night,Ai,49.0,4,Sunday,49.49
Afternoon,Python,107.6,1,Saturday,47.83
Morning,Aptitude,117.3,9,Tuesday,55.81
Night,DSA,71.4,5,Friday,38.56
Morning,DSA,72.2,10,Monday,53.39
Evening,Operating Systems,42.7,7,Wednesday,59.39
Afternoon,Ai,74.3,3,Saturday,51.83
Morning,DSA,58.4,4,Monday,49.01
Afternoon,Ai,43.2,10,Friday,60.82
Morning,DSA,17.4,9,Wednesday,59.38
Evening,Machine Learning,37.8,10,Wednesday,58.11
Evening,Python,31.8,1,Sunday,49.99
Afternoon,Ai,69.6,5,Tuesday,45.08
Evening,DBMS,76.2,8,Thursday,53.76
Night,Python,76.9,10,Friday,48.88
Morning,Operating Systems,52.7,7,Thursday,61.09
Evening,Python,56.3,4,Friday,62.85
Night,DSA,101.8,7,Monday,35.16
Afternoon,Operating Systems,62.4,1,Thursday,54.54
Night,Python,118.7,6,Sunday,46.57
Afternoon,Java,58.4,9,Saturday,48.56
Afternoon,Operating Systems,81.5,3,Sunday,40.26
Morning,Java,15.5,4,Sunday,53.01
Morning,DBMS,81.9,8,Saturday,60.19
Night,Python,103.7,5,Saturday,31.72
Morning,Ai,113.7,5,Wednesday,50.52
Morning,Ai,119.7,1,Tuesday,62.3
Morning,Aptitude,41.0,6,Sunday,59.81
Night,DSA,73.3,2,Friday,40.27
Evening,Java,59.6,1,Tuesday,51.26
Morning,Operating Systems,72.0,6,Friday,64.76
Morning,Aptitude,27.3,5,Saturday,61.43
Night,Aptitude,104.2,5,Wednesday,43.3
Evening,Machine Learning,110.1,9,Wednesday,46.86
Morning,Java,59.5,10,Wednesday,67.38
Afternoon,Operating Systems,40.8,10,Wednesday,43.57
Night,Aptitude,25.5,3,Sunday,45.38
Morning,Machine Learning,85.2,1,Wednesday,64.0
Morning,Aptitude,44.3,8,Saturday,56.97
Afternoon,DSA,110.0,5,Tuesday,46.06
Afternoon,DBMS,83.8,5,Monday,41.93
Night,Java,81.0,8,Thursday,45.31
Night,Machine Learning,71.5,8,Tuesday,35.69
Afternoon,DBMS,15.0,2,Saturday,48.53
Night,Operating Systems,112.5,3,Thursday,34.87
Afternoon,DSA,79.1,10,Monday,40.62
Morning,Machine Learning,119.3,10,Friday,58.66
Afternoon,Operating Systems,69.1,1,Sunday,51.2
Afternoon,Aptitude,88.1,3,Monday,48.58
Evening,Ai,16.2,4,Monday,60.25
Afternoon,Python,79.5,7,Saturday,46.2
Afternoon,Operating Systems,94.1,9,Sunday,57.89
Evening,DBMS,95.6,5,Friday,48.35
Night,DSA,94.7,1,Thursday,40.44
Evening,DSA,34.9,2,Sunday,57.76
Morning,Operating Systems,117.3,10,Wednesday,58.71
Evening,Aptitude,119.5,2,Friday,59.75
Morning,Python,18.3,9,Friday,55.39
Night,Java,113.0,10,Monday,40.24
Evening,DBMS,41.8,7,Friday,57.99
Evening,Operating Systems,85.8,2,Sunday,44.81
Night,Operating Systems,47.2,1,Tuesday,38.93
Morning,Ai,116.5,5,Sunday,56.44
Evening,DSA,21.2,1,Wednesday,60.59
Morning,DBMS,64.8,9,Sunday,58.84
Evening,Python,57.1,3,Monday,55.96
Afternoon,DSA,45.9,2,Thursday,49.82
Evening,Operating Systems,81.0,6,Thursday,46.3
Night,DSA,24.4,3,Thursday,41.1
Night,DSA,88.8,5,Thursday,46.2
Morning,Machine Learning,117.9,10,Thursday,59.19
Evening,DSA,98.5,8,Monday,57.06
Morning,Aptitude,104.6,10,Tuesday,63.51
Morning,DSA,49.6,2,Tuesday,60.13
Afternoon,Java,45.7,5,Thursday,37.43
Afternoon,Aptitude,66.9,8,Tuesday,51.68
Night,DBMS,15.0,1,Wednesday,42.57
Morning,DSA,114.0,10,Tuesday,57.07
Night,Python,25.8,10,Sunday,42.14
Evening,Aptitude,109.3,4,Friday,56.46
Morning,Aptitude,19.2,5,Thursday,52.65
Morning,Operating Systems,100.5,10,Sunday,48.42
Evening,DBMS,26.7,3,Friday,48.81
Evening,DSA,14.2,2,Friday,58.6
Night,Ai,89.1,3,Thursday,42.81
Night,Python,40.8,5,Saturday,46.53
Evening,Operating Systems,88.6,7,Monday,57.4
Night,DBMS,71.1,2,Saturday,43.98
Evening,Java,22.0,7,Tuesday,57.63
Morning,Aptitude,112.5,6,Saturday,54.39
Morning,Python,59.8,7,Wednesday,65.34
Afternoon,Java,90.8,7,Saturday,48.91
Morning,DSA,65.1,9,Saturday,48.07
Evening,Ai,76.5,7,Monday,55.3
Night,Machine Learning,43.3,6,Wednesday,42.25
Afternoon,Machine Learning,32.0,10,Saturday,47.31
Night,DBMS,69.7,8,Thursday,45.13
Evening,Ai,58.4,7,Tuesday,53.8
Morning,Python,52.9,6,Saturday,66.78
Afternoon,Operating Systems,84.0,4,Monday,53.04
Evening,Python,86.0,7,Thursday,57.2
Afternoon,Ai,15.1,8,Monday,44.41
Afternoon,Java,47.3,8,Friday,50.6
Morning,Aptitude,55.3,4,Saturday,52.73
Evening,Machine Learning,20.7,10,Tuesday,44.74
Night,DBMS,35.9,9,Tuesday,42.97
Afternoon,DSA,15.7,3,Thursday,47.28
Afternoon,Python,119.6,9,Thursday,57.15
Night,Machine Learning,91.0,3,Thursday,47.87
